TIMESTAMPms	M100GLOBALPOSITIONINTlat	M100GLOBALPOSITIONINTlon	M100VFRHUDalt
42255	4.18803e+08	1.27032e+08	9.79487
42601	4.18803e+08	1.27032e+08	9.79487
43006	4.18803e+08	1.27032e+08	9.79487
43136	4.18803e+08	1.27032e+08	9.79487
43688	4.18803e+08	1.27032e+08	9.79487
44086	4.18803e+08	1.27032e+08	9.79487
44144	4.18803e+08	1.27032e+08	9.79487
44703	4.18803e+08	1.27032e+08	9.79487
44966	4.18803e+08	1.27032e+08	9.79487
45193	4.18803e+08	1.27032e+08	9.79487
45635	4.18803e+08	1.27032e+08	9.79487
46039	4.18816e+08	1.27023e+08	9.79487
46173	4.18816e+08	1.27023e+08	11.1625
46722	4.18816e+08	1.27023e+08	24.3822
46985	4.18816e+08	1.27024e+08	24.3822
47271	4.18816e+08	1.27024e+08	25.4581
47599	4.18816e+08	1.27024e+08	24.8604
48050	4.18815e+08	1.27024e+08	24.8604
48149	4.18815e+08	1.27024e+08	24.2907
48697	4.18815e+08	1.27024e+08	23.6984
48959	4.18814e+08	1.27025e+08	23.6984
49088	4.18814e+08	1.27025e+08	22.9359
49624	4.18814e+08	1.27025e+08	22.3383
50079	4.18814e+08	1.27025e+08	22.3383
50163	4.18814e+08	1.27025e+08	21.876
50713	4.18814e+08	1.27025e+08	21.1324
50973	4.18813e+08	1.27026e+08	21.1324
51103	4.18813e+08	1.27026e+08	20.5821
51653	4.18813e+08	1.27026e+08	20.0226
52055	4.18812e+08	1.27026e+08	20.0226
52200	4.18812e+08	1.27026e+08	19.4819
52747	4.18812e+08	1.27026e+08	19.2961
52992	4.18812e+08	1.27026e+08	19.2961
53138	4.18812e+08	1.27026e+08	19.2961
53623	4.18812e+08	1.27026e+08	19.2961
54041	4.18812e+08	1.27026e+08	19.2961
54170	4.18812e+08	1.27026e+08	19.2961
54719	4.18812e+08	1.27026e+08	19.2961
55126	4.18812e+08	1.27026e+08	19.2961
55255	4.18812e+08	1.27026e+08	19.2961
55619	4.18812e+08	1.27026e+08	19.2961
56006	4.18812e+08	1.27026e+08	19.2961
56151	4.18812e+08	1.27026e+08	19.2961
56701	4.18812e+08	1.27026e+08	19.2961
57105	4.18812e+08	1.27026e+08	19.2961
57252	4.18812e+08	1.27026e+08	19.2961
57628	4.18812e+08	1.27026e+08	19.2961
58017	4.1881e+08	1.27029e+08	19.2961
58163	4.1881e+08	1.27029e+08	19.2961
58713	4.1881e+08	1.27029e+08	15.1351
58960	4.18809e+08	1.27029e+08	15.1351
59261	4.18809e+08	1.27029e+08	14.33
59606	4.18809e+08	1.27029e+08	12.2766
60043	4.18808e+08	1.2703e+08	12.2766
60142	4.18808e+08	1.2703e+08	9.95932
60643	4.18808e+08	1.2703e+08	9.95932
61096	4.18806e+08	1.27031e+08	9.95932
61179	4.18806e+08	1.27031e+08	9.95932
61684	4.18806e+08	1.27031e+08	7.02469
61961	4.18804e+08	1.27033e+08	7.02469
62091	4.18804e+08	1.27033e+08	5.18591
62622	4.18804e+08	1.27033e+08	4.52729
63039	4.18803e+08	1.27033e+08	4.52729
63169	4.18803e+08	1.27033e+08	3.96287
63704	4.18803e+08	1.27033e+08	3.44109
