TIMESTAMPms	M100VFRHUDalt
631708	7.68042
632101	7.68042
632667	7.68042
633189	7.68042
633729	7.68042
634202	7.68042
634614	7.68042
635146	7.68042
635742	15.3414
636089	19.3576
636620	20.9743
637169	20.9993
637717	20.9993
638123	20.9993
638641	20.9993
639203	20.9993
639580	20.9993
640133	20.9993
640670	20.9993
641224	20.9993
641746	20.9993
642108	20.9993
642663	20.9993
643246	20.9993
643783	20.9993
644129	20.9993
644614	20.9993
645121	20.9993
645671	20.9993
646224	20.9993
646764	20.9993
647093	20.9993
647723	20.9993
648288	20.9993
648617	20.9993
649163	20.9993
649697	20.9993
650200	20.9993
650607	20.9993
651143	20.9993
651694	20.9993
652196	20.9993
653141	20.9993
653676	20.9993
655188	20.9993
655580	20.9993
656192	20.9993
658201	20.9993
659118	20.9993
659595	20.9993
660084	20.9993
660697	20.9993
661259	20.9993
661589	20.9993
662716	47.2038
663124	47.2038
663739	47.2038
664240	47.2038
664695	47.2038
665195	47.2038
665681	47.2038
666186	47.2038
666595	47.2038
667131	47.2038
667685	47.2038
668271	47.2038
668771	47.2038
669181	47.2038
669720	47.2038
670177	47.2038
670740	47.2038
671181	47.2038
671733	47.2038
672285	47.2038
672665	47.2038
673171	47.2038
673711	47.2038
674107	47.2038
674643	47.2038
675177	47.2038
675681	47.2038
676184	49.7559
676684	57.0191
677200	57.0191
677693	57.0191
678260	57.0191
678760	57.0191
679135	57.0191
679653	57.0191
680142	57.0191
680691	57.0191
681198	57.0191
681752	57.0191
682271	57.0191
682666	57.9138
683156	57.8384
683723	57.6734
684211	57.6734
684789	57.6734
685227	57.6734
685603	57.6734
686142	57.6734
686692	57.6734
687086	57.6734
687636	57.6734
688096	57.6734
688604	57.6734
689143	57.6734
689646	57.6734
690196	57.6734
690587	57.0338
691200	56.7265
691707	56.7265
692286	56.7265
692676	56.7265
693133	56.7265
693603	56.7265
694076	56.7265
694701	56.7265
696621	56.7265
697159	56.7265
697694	56.7265
698196	56.7265
698681	56.7265
699181	56.7265
699699	56.7265
700167	56.7265
700652	56.7265
701205	56.7265
701647	56.7265
702150	56.7265
703195	56.7265
703654	56.7265
704116	56.7265
704695	56.7265
705195	56.7265
705712	56.7265
706218	56.7265
706661	56.7265
707275	56.7265
707603	56.7265
708106	56.7265
708669	56.7265
709142	56.7265
709690	56.7265
710085	56.7265
711140	56.7265
712086	56.7265
712571	56.7265
713074	56.7265
715711	56.7265
716118	58.9901
716605	59.2509
718128	55.5112
718648	54.2781
719117	53.1577
719680	52.0091
720242	50.817
720743	49.834
721243	49.3179
721743	49.3179
722165	49.3179
722668	49.3179
723174	49.3179
723706	49.3179
724159	43.5528
724644	42.0898
725144	41.1516
725598	40.1338
726145	39.2037
726601	38.4482
727720	36.7974
728191	36.0081
728650	35.0366
729139	34.1681
729623	33.4968
730158	32.8512
730598	32.8512
731198	32.8512
731706	31.6137
732206	30.2344
732753	29.8507
733196	29.8507
733794	29.8507
734127	29.8507
734646	29.8507
735148	29.8507
735604	29.8507
736156	29.8507
736689	29.8507
737242	29.8507
737635	29.8507
738235	29.8507
738693	29.8507
739163	29.8507
739712	29.8507
740244	29.8507
